Nome,Estado,Hora,Data,Clima,Temperatura,Desc_temperatura,Humidade,Pressao_at,Cob_nuvens,Velo_vento_kmh,Precipitacao,Chance_chuva,Ponto_orvalho,UV,Vel_raj_vento,Cod_cond_climatica,Score
Recife,Pernambuco,21:58:00,2026-06-15,Patchy rain nearby,24.8,Ameno,87.0,1016.0,60.0,12.2,0.07,25,22.5,0.0,20.2,1063,59.69
Caruaru,Pernambuco,21:58:00,2026-06-15,Fog,19.3,Ameno,98.0,1018.0,100.0,6.1,0.01,43,19.0,0.0,10.9,1135,74.77
Arcoverde,Pernambuco,21:58:01,2026-06-15,Mist,19.2,Ameno,96.0,1017.0,55.0,8.3,0.0,28,18.6,0.0,15.0,1030,60.62
Serra Talhada,Pernambuco,21:58:01,2026-06-15,Clear,22.3,Ameno,77.0,1016.0,11.0,16.6,0.0,9,18.2,0.0,28.8,1000,39.99
Salgueiro,Pernambuco,21:58:01,2026-06-15,Clear,23.5,Ameno,66.0,1015.0,6.0,20.9,0.0,5,16.7,0.0,42.1,1000,34.04
Ouricuri,Pernambuco,21:58:02,2026-06-15,Clear,23.5,Ameno,51.0,1015.0,6.0,7.2,0.0,2,12.9,0.0,15.1,1000,27.28
Petrolina,Pernambuco,21:58:02,2026-06-15,Clear,25.9,Ameno,43.0,1015.0,7.0,19.8,0.0,1,12.4,0.0,41.6,1000,24.28
Recife,Pernambuco,21:58:02,2026-06-15,Patchy rain nearby,24.8,Ameno,87.0,1016.0,60.0,12.2,0.07,25,22.5,0.0,20.2,1063,59.69
Caruaru,Pernambuco,21:58:02,2026-06-15,Fog,19.3,Ameno,98.0,1018.0,100.0,6.1,0.01,43,19.0,0.0,10.9,1135,74.77
Arcoverde,Pernambuco,21:58:03,2026-06-15,Mist,19.2,Ameno,96.0,1017.0,55.0,8.3,0.0,28,18.6,0.0,15.0,1030,60.62
Serra Talhada,Pernambuco,21:58:03,2026-06-15,Clear,22.3,Ameno,77.0,1016.0,11.0,16.6,0.0,9,18.2,0.0,28.8,1000,39.99
Salgueiro,Pernambuco,21:58:03,2026-06-15,Clear,23.5,Ameno,66.0,1015.0,6.0,20.9,0.0,5,16.7,0.0,42.1,1000,34.04
Ouricuri,Pernambuco,21:58:03,2026-06-15,Clear,23.5,Ameno,51.0,1015.0,6.0,7.2,0.0,2,12.9,0.0,15.1,1000,27.28
Petrolina,Pernambuco,21:58:04,2026-06-15,Clear,25.9,Ameno,43.0,1015.0,7.0,19.8,0.0,1,12.4,0.0,41.6,1000,24.28
Recife,Pernambuco,21:58:04,2026-06-15,Patchy rain nearby,24.8,Ameno,87.0,1016.0,60.0,12.2,0.07,25,22.5,0.0,20.2,1063,59.69
Caruaru,Pernambuco,21:58:04,2026-06-15,Fog,19.3,Ameno,98.0,1018.0,100.0,6.1,0.01,43,19.0,0.0,10.9,1135,74.77
Arcoverde,Pernambuco,21:58:05,2026-06-15,Mist,19.2,Ameno,96.0,1017.0,55.0,8.3,0.0,28,18.6,0.0,15.0,1030,60.62
Serra Talhada,Pernambuco,21:58:05,2026-06-15,Clear,22.3,Ameno,77.0,1016.0,11.0,16.6,0.0,9,18.2,0.0,28.8,1000,39.99
Salgueiro,Pernambuco,21:58:05,2026-06-15,Clear,23.5,Ameno,66.0,1015.0,6.0,20.9,0.0,5,16.7,0.0,42.1,1000,34.04
Ouricuri,Pernambuco,21:58:05,2026-06-15,Clear,23.5,Ameno,51.0,1015.0,6.0,7.2,0.0,2,12.9,0.0,15.1,1000,27.28
Petrolina,Pernambuco,21:58:06,2026-06-15,Clear,25.9,Ameno,43.0,1015.0,7.0,19.8,0.0,1,12.4,0.0,41.6,1000,24.28
Recife,Pernambuco,21:58:06,2026-06-15,Patchy rain nearby,24.8,Ameno,87.0,1016.0,60.0,12.2,0.07,25,22.5,0.0,20.2,1063,59.69
Caruaru,Pernambuco,21:58:06,2026-06-15,Fog,19.3,Ameno,98.0,1018.0,100.0,6.1,0.01,43,19.0,0.0,10.9,1135,74.77
Arcoverde,Pernambuco,21:58:07,2026-06-15,Mist,19.2,Ameno,96.0,1017.0,55.0,8.3,0.0,28,18.6,0.0,15.0,1030,60.62
Serra Talhada,Pernambuco,21:58:07,2026-06-15,Clear,22.3,Ameno,77.0,1016.0,11.0,16.6,0.0,9,18.2,0.0,28.8,1000,39.99
Salgueiro,Pernambuco,21:58:07,2026-06-15,Clear,23.5,Ameno,66.0,1015.0,6.0,20.9,0.0,5,16.7,0.0,42.1,1000,34.04
Ouricuri,Pernambuco,21:58:07,2026-06-15,Clear,23.5,Ameno,51.0,1015.0,6.0,7.2,0.0,2,12.9,0.0,15.1,1000,27.28
